modulo,columna,dtype,nunique,pct_nulos_antes,pct_nulos_despues,pct_centinela,n_centinela_muestra
modulo03_educacion,D311D$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,D311B$4,str,396,0.0,0.0,0.0,0
modulo03_educacion,D311D2$4,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D3$4,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D4$4,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D5$4,str,92,0.0,0.0,0.0,0
modulo03_educacion,D311D6$4,str,185,0.0,0.0,0.0,0
modulo03_educacion,D311D7$4,str,2,0.0,0.0,0.0,0
modulo03_educacion,D311D$4,str,232,0.0,0.0,0.0,0
modulo03_educacion,D311B$5,str,321,0.0,0.0,0.0,0
modulo03_educacion,D311D2$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D3$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D4$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D5$5,str,43,0.0,0.0,0.0,0
modulo03_educacion,D311D6$5,str,6,0.0,0.0,0.0,0
modulo03_educacion,D311D7$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D$5,str,47,0.0,0.0,0.0,0
modulo03_educacion,D311B$6,str,113,0.0,0.0,0.0,0
